Truck_ID,Vehicle_No,Vehicle_Type,Supervisor,Mode,Customer_Name,Ownership,Purchase_Date,EMI_Monthly,Insurance_Monthly,Road_Tax_Monthly,Tyre_Cost_per_KM,Maintenance_Cost_per_KM,,,,,,,,,,,,,,,
1,KA01AD8541,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
2,KA01AE3341,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
3,KA01AE3347,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
4,KA01AN8185,MXL,SADDAM,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
5,KA51AA2798,MXL,SADDAM,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
6,KA51AA4977,MXL,SADDAM,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
7,KA51AB0435,MXL,SADDAM,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
8,KA51AB0436,MXL,SADDAM,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
9,KA51AB0437,MXL,SADDAM,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
10,KA51AB0438,MXL,SADDAM,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
11,KA51AB0440,MXL,SADDAM,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
12,KA51AB0443,MXL,SADDAM,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
13,KA51AJ0971,MXL,SADDAM,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
14,KA51AJ4202,MXL,SADDAM,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
15,KA51AK6573,MXL,SADDAM,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
16,KA51AK6575,MXL,SADDAM,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
17,KA51AK6576,MXL,SADDAM,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
18,KA51B1141,MXL,SADDAM,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
19,KA51B1880,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
20,KA51B3052,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
21,KA51B3175,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
22,KA51B5351,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
23,KA51B7596,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
24,KA51C6587,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
25,KA51C7233,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
26,KA51C7234,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
27,KA51C7239,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
28,KA51C7240,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
29,KA51C7241,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
30,KA51C7242,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
31,KA51D1017,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
32,KA51D2607,MXL,SADDAM,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
